ic_rezedu,ic_asalud,ic_segsoc,ic_cv,ic_sbv,ic_ali_nc,carencias,carencias3,plp_e,plp
244827.0,388672.0,514989.0,70201.0,36588.0,231913.0,795576.0,167644.0,90107.0,489316.0
594211.0,1085843.0,1325045.0,233591.0,154872.0,383258.0,1965330.0,410850.0,107356.0,717703.0
119342.0,145869.0,251259.0,72483.0,83532.0,122366.0,429437.0,91181.0,23974.0,150552.0
193071.0,328594.0,519555.0,141748.0,331459.0,208658.0,692271.0,307026.0,151227.0,485002.0
440336.0,644065.0,797526.0,110779.0,110665.0,430827.0,1386618.0,286777.0,193159.0,943432.0
120556.0,169115.0,277000.0,35947.0,36875.0,108241.0,404032.0,83026.0,34049.0,210736.0
1772430.0,3764369.0,4437352.0,1261627.0,2896289.0,1191029.0,5085897.0,3218010.0,2087802.0,3990766.0
612578.0,818291.0,1233435.0,201521.0,180409.0,370647.0,1815971.0,382173.0,202744.0,972316.0
902494.0,2674667.0,3655436.0,375266.0,315389.0,1060207.0,4718175.0,882359.0,546867.0,2992986.0
333864.0,563511.0,862522.0,154623.0,181230.0,379509.0,1167189.0,349386.0,247994.0,812476.0
1434044.0,2081165.0,3148235.0,387407.0,587369.0,1145962.0,4212573.0,1234787.0,526097.0,2597993.0
1037606.0,1899095.0,2579164.0,969842.0,1941493.0,1133715.0,3117087.0,1989525.0,980250.0,2294583.0
631313.0,1591495.0,2065804.0,202923.0,772323.0,602049.0,2461692.0,963755.0,378931.0,1454659.0
1737839.0,3156568.0,3568388.0,446994.0,353000.0,1176459.0,5069792.0,1381234.0,402235.0,2478570.0
2830999.0,7648780.0,9024819.0,1146431.0,1638950.0,3514208.0,11489432.0,3931586.0,2099155.0,9172213.0
1430277.0,2531416.0,3104794.0,509837.0,1076830.0,1138631.0,3859132.0,1758451.0,638917.0,2292215.0
359707.0,933485.0,1165242.0,200837.0,350323.0,372406.0,1444989.0,550065.0,233593.0,960208.0
256590.0,430173.0,650141.0,136877.0,181552.0,214188.0,842216.0,279070.0,127873.0,445546.0
818746.0,1383243.0,1646774.0,191707.0,230653.0,708734.0,2694456.0,534277.0,230916.0,1555549.0
1238000.0,2792542.0,3158737.0,896878.0,2344677.0,1215940.0,3723675.0,2462289.0,1056560.0,2610439.0
1470326.0,3241897.0,4515731.0,763234.0,1818116.0,1488432.0,5311524.0,2346777.0,1284242.0,4079106.0
435807.0,753111.0,1069502.0,123342.0,193327.0,322344.0,1436658.0,366152.0,113963.0,723245.0
316741.0,620542.0,812983.0,268780.0,431011.0,287379.0,1200822.0,439163.0,135464.0,631765.0
590501.0,992431.0,1384564.0,260826.0,687249.0,399021.0,1837674.0,716867.0,385235.0,1213603.0
525036.0,820622.0,1208098.0,220604.0,298935.0,533946.0,1765221.0,467599.0,138235.0,874144.0
436684.0,732404.0,994571.0,244309.0,275575.0,586485.0,1630475.0,414170.0,167517.0,834861.0
437990.0,1094136.0,1423490.0,301332.0,1073164.0,949965.0,1956473.0,1045273.0,387854.0,1222421.0
577611.0,1002941.0,1415612.0,219430.0,244437.0,446466.0,1958511.0,489832.0,288322.0,1346548.0
221242.0,619919.0,848297.0,111902.0,110479.0,311611.0,1007035.0,323131.0,232058.0,862755.0
2092259.0,4038438.0,4998199.0,1030380.0,3064920.0,1769575.0,6438584.0,3210934.0,1539245.0,4732925.0
503615.0,833673.0,1087849.0,298338.0,824977.0,366640.0,1637749.0,667163.0,241882.0,1084940.0
340141.0,602672.0,935577.0,75759.0,120648.0,273122.0,1159408.0,305541.0,268087.0,870490.0
